epoch,accuracy_m,f1_m,loss,neg_f1_m,neg_precision_m,neg_pred_m,neg_recall_m,pos_pred_m,precision_m,recall_m
0,0.6276041865348816,0.597877562046051,0.6696980595588684,0.605079710483551,0.6334975957870483,64.02222442626953,0.6288759112358093,63.977779388427734,0.6410319209098816,0.6300631761550903
1,0.7154513597488403,0.7146307229995728,0.5590388774871826,0.696648120880127,0.760834813117981,58.9555549621582,0.678651750087738,69.04444122314453,0.7125350832939148,0.7544933557510376
2,0.7559027671813965,0.7569076418876648,0.5048607587814331,0.7293159365653992,0.8129103183746338,58.622222900390625,0.7090906500816345,69.37777709960938,0.7570350766181946,0.7929543256759644
3,0.8050346970558167,0.8082526326179504,0.4310225546360016,0.7948036789894104,0.842225193977356,59.622222900390625,0.7706686854362488,68.37777709960938,0.7956394553184509,0.8389008641242981
4,0.8274305462837219,0.8286237120628357,0.39416855573654175,0.8194271326065063,0.858957827091217,61.33333206176758,0.8074575066566467,66.66666412353516,0.830288290977478,0.848969042301178
5,0.8645833134651184,0.8644507527351379,0.33237841725349426,0.8611714839935303,0.8800085186958313,62.66666793823242,0.8538581728935242,65.33333587646484,0.8653439283370972,0.8746836185455322
6,0.8607639074325562,0.8613415360450745,0.3263464570045471,0.8545823693275452,0.8797135949134827,62.844444274902344,0.8516777157783508,65.15555572509766,0.8694929480552673,0.8698828220367432
7,0.8895833492279053,0.8900032043457031,0.27615082263946533,0.8860058188438416,0.9018619060516357,63.022220611572266,0.8807199001312256,64.97777557373047,0.8919511437416077,0.89668208360672
8,0.8909721970558167,0.891510546207428,0.2704865336418152,0.8880200982093811,0.9046019911766052,63.06666564941406,0.8870331048965454,64.93333435058594,0.8965581059455872,0.8994006514549255
9,0.8994791507720947,0.8991385698318481,0.2493693083524704,0.8963088989257812,0.9130172729492188,63.35555648803711,0.8936357498168945,64.64444732666016,0.9072763323783875,0.9031115770339966
10,0.9199652671813965,0.9194266200065613,0.19894272089004517,0.9187437891960144,0.9205315709114075,64.15555572509766,0.9205577373504639,63.844444274902344,0.9244900345802307,0.9179705381393433
11,0.9131944179534912,0.9137235283851624,0.21958297491073608,0.9099335670471191,0.9238553643226624,63.511112213134766,0.9085633158683777,64.4888916015625,0.9196281433105469,0.9176821112632751
12,0.9267361164093018,0.9265769124031067,0.18594735860824585,0.9254359602928162,0.9298800826072693,64.04444122314453,0.9268477559089661,63.9555549621582,0.9314653873443604,0.926800012588501
13,0.9387152791023254,0.9385527968406677,0.16424252092838287,0.9378341436386108,0.9412572979927063,63.977779388427734,0.938610851764679,64.02222442626953,0.9417482018470764,0.9390686750411987
14,0.9420138597488403,0.9419637322425842,0.14984729886054993,0.941344678401947,0.9428377151489258,64.0888900756836,0.9433559775352478,63.911109924316406,0.9451545476913452,0.9421667456626892
15,0.9486111402511597,0.9482722878456116,0.1359235942363739,0.9477827548980713,0.9536284804344177,63.77777862548828,0.946850061416626,64.22222137451172,0.9511293768882751,0.9502248764038086
16,0.9465277791023254,0.9459714889526367,0.1428689956665039,0.9459649920463562,0.9447283148765564,64.66666412353516,0.9508000016212463,63.33333206176758,0.9546952247619629,0.9408804774284363
17,0.9399305582046509,0.9392024278640747,0.1599052995443344,0.9391258955001831,0.9421547651290894,64.4000015258789,0.9418243169784546,63.599998474121094,0.9480084776878357,0.9360958337783813
18,0.9449653029441833,0.9442170262336731,0.1440713107585907,0.944982647895813,0.9460766315460205,64.33333587646484,0.9494417905807495,63.66666793823242,0.9505382180213928,0.9435757994651794
19,0.9762153029441833,0.9759852290153503,0.07128821313381195,0.9761294722557068,0.9774535298347473,63.844444274902344,0.9753602743148804,64.15555572509766,0.9748778343200684,0.9776304364204407
